日期,计划id,计划名称,推广类型,单元id,单元名称,关键词,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总收藏数,宝贝收藏数,店铺收藏数,总购物车数,直接购物车数,间接购物车数,加购成本,宝贝收藏成本,宝贝收藏转化率,加购率,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,总成交金额,直接成交金额,间接成交金额,总成交笔数,直接成交笔数,间接成交笔数,投入产出比,点击转化率,直接点击转化率,购物金充值笔数,购物金充值金额
2022-02-12,48739019,二环_重点关注,标准计划,3136875664,Skechers斯凯奇2021秋冬新款休闲健步鞋女防滑软底一脚蹬懒人鞋,运动鞋运动,1,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,48739019,二环_重点关注,标准计划,3136875664,Skechers斯凯奇2021秋冬新款休闲健步鞋女防滑软底一脚蹬懒人鞋,运动品牌鞋子女,1,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,48739019,二环_重点关注,标准计划,3136875664,Skechers斯凯奇2021秋冬新款休闲健步鞋女防滑软底一脚蹬懒人鞋,休闲运动鞋女冬,1,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,48739019,二环_重点关注,标准计划,3136875664,Skechers斯凯奇2021秋冬新款休闲健步鞋女防滑软底一脚蹬懒人鞋,女士紫色运动鞋,867,43,36.97,4.9596,0.86,42.64,1,1,0,2,1,1,18.49,36.97,2.3256,4.6512,0.00,0,0.00,0,0.00,0,329.00,329.00,0.00,1,1,0,8.8991,2.3256,2.3256,0,0.00
2022-02-12,48739019,二环_重点关注,标准计划,3136875664,Skechers斯凯奇2021秋冬新款休闲健步鞋女防滑软底一脚蹬懒人鞋,运动跑步鞋子,1,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,48739019,二环_重点关注,标准计划,3136875664,Skechers斯凯奇2021秋冬新款休闲健步鞋女防滑软底一脚蹬懒人鞋,运动鞋子女,11,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,48739019,二环_重点关注,标准计划,3136875664,Skechers斯凯奇2021秋冬新款休闲健步鞋女防滑软底一脚蹬懒人鞋,健步鞋女,2,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,48739019,二环_重点关注,标准计划,3136875664,Skechers斯凯奇2021秋冬新款休闲健步鞋女防滑软底一脚蹬懒人鞋,女款休闲鞋,1,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,48739019,二环_重点关注,标准计划,3136875664,Skechers斯凯奇2021秋冬新款休闲健步鞋女防滑软底一脚蹬懒人鞋,一脚蹬女鞋,2,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,48739019,二环_重点关注,标准计划,3136875664,Skechers斯凯奇2021秋冬新款休闲健步鞋女防滑软底一脚蹬懒人鞋,2021冬天新款女鞋,2,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,48655484,单品_13143,标准计划,2785129446,Skechers斯凯奇春季休闲老爹鞋女时尚百搭熊猫鞋厚底增高运动鞋,女鞋子2021年新款休闲,2,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
