日期,计划id,计划名称,推广类型,省份,城市,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总收藏数,宝贝收藏数,店铺收藏数,总购物车数,直接购物车数,间接购物车数,加购成本,宝贝收藏成本,宝贝收藏转化率,加购率,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,总成交金额,直接成交金额,间接成交金额,总成交笔数,直接成交笔数,间接成交笔数,投入产出比,点击转化率,直接点击转化率
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,重庆,重庆,111,12,5.12,10.8108,0.43,46.13,1,1,0,3,0,3,1.71,5.12,8.3333,25.0000,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,浙江,衢州,9,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,浙江,舟山,1,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,浙江,温州,20,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,浙江,台州,11,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,浙江,宁波,41,3,1.38,7.3171,0.46,33.66,0,0,0,3,2,1,0.46,,0.0000,100.0000,,,,,,,399.00,0.00,399.00,1,0,1,289.1304,33.3333,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,浙江,丽水,9,3,1.23,33.3333,0.41,136.67,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,浙江,金华,19,1,0.39,5.2632,0.39,20.53,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,浙江,嘉兴,23,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,浙江,湖州,3,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,浙江,杭州,65,9,3.95,13.8462,0.44,60.77,0,0,0,1,0,1,3.95,,0.0000,11.1111,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,云南,玉溪,4,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,云南,曲靖,5,1,0.48,20.0000,0.48,96.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,云南,临沧,2,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,云南,丽江,1,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,云南,昆明,31,5,1.81,16.1290,0.36,58.39,0,0,0,1,1,0,1.81,,0.0000,20.0000,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,云南,大理,11,1,0.38,9.0909,0.38,34.55,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,天津,天津,55,11,5.12,20.0000,0.47,93.09,2,2,0,3,0,3,1.71,2.56,18.1818,27.2727,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,四川,自贡,6,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,四川,宜宾,8,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,四川,攀枝花,2,1,0.42,50.0000,0.42,210.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,四川,南充,11,1,0.48,9.0909,0.48,43.64,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,四川,绵阳,20,2,0.92,10.0000,0.46,46.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,四川,乐山,10,2,0.92,20.0000,0.46,92.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,四川,广元,4,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,四川,德阳,4,1,0.46,25.0000,0.46,115.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,四川,成都,94,4,1.66,4.2553,0.42,17.66,0,0,0,2,0,2,0.83,,0.0000,50.0000,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,四川,巴中,5,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,上海,上海,237,14,6.01,5.9072,0.43,25.36,0,0,0,6,2,4,1.00,,0.0000,42.8571,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,陕西,榆林,17,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,陕西,延安,16,3,1.25,18.7500,0.42,78.13,0,0,0,1,1,0,1.25,,0.0000,33.3333,,,,,,,339.00,339.00,0.00,1,1,0,271.2000,33.3333,33.3333
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,陕西,咸阳,16,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,陕西,西安,75,7,2.99,9.3333,0.43,39.87,1,1,0,3,1,2,1.00,2.99,14.2857,42.8571,,,,,,,0.00,0.00,0.00,0,0,0,0.0000,0.0000,0.0000
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,陕西,渭南,6,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,陕西,铜川,3,1,0.40,33.3333,0.40,133.33,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-10,154946343,十二月_老爹鞋二三环,智能计划,陕西,商洛,5,0,0.00,0.0000,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
